CASRN,CATMoS_LD50_mgkg,Canonical_QSARr,LogLD50
66941-57-9,1453.0,CCCCSCCC1(CC=C)C(=O)NC(S)=NC1=O,3.1622656142980214
52578-56-0,4290.0,OC1=CC(O)=CC(=C1)SC1=CC(O)=CC(O)=C1,3.6324572921847245
302-41-0,320.0,NC(=O)C1(CCN(CCC(C#N)(C2C=CC=CC=2)C2C=CC=CC=2)CC1)N1CCCCC1,2.505149978319906
10108-56-2,330.0,CCCCNC1CCCCC1,2.5185139398778875
56-38-2,6.0,CCOP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,0.7781512503836436
541-28-6,1424.0,CC(C)CCI,3.1535099893008374
7683-59-2,355.0,CC(C)NCC(O)C1=CC=C(O)C(O)=C1,2.550228353055094
532-02-5,10001.0,OS(=O)(=O)C1C=C2C=CC=CC2=CC=1,4.000043427276863
21586-21-0,431.0,CC(N)CC(C)(C)N,2.6344772701607315
64059-14-9,86.8,CNC(=O)OC1C=CC(=CC=1)N(CC=C)CC=C,1.9385197251764918
536-60-7,1020.0,CC(C)C1C=CC(CO)=CC=1,3.0086001717619175
124-63-0,205.0,CS(=O)(=O)Cl,2.311753861055754
1897-45-6,5061.0,N#CC1C(Cl)=C(Cl)C(Cl)=C(C#N)C=1Cl,3.704236337308788
6315-89-5,681.0,COC1C=CC(N)=CC=1OC,2.833147111912785
120-21-8,6400.0,CCN(CC)C1C=CC(C=O)=CC=1,3.806179973983887
78816-47-4,623.0,CCOC(=O)NC1C=CC2CCC3=CC=CC=C3N(C=2C=1)C(=O)CCN1CCOCC1,2.7944880466591697
60047-17-8,1150.0,CC(C)(O)C1CCC(C)(C=C)O1,3.060697840353612
101-39-3,2050.0,CC(=CC1C=CC=CC=1)C=O,3.311753861055754
5942-95-0,1025.0,NC(=O)C1(CCN(CCCN2C3=CC=CC=C3CCC3=CC=CC=C23)CC1)N1CCCCC1,3.010723865391773
53558-25-1,6.0,[O-][N+](=O)C1C=CC(=CC=1)NC(=O)NCC1C=NC=CC=1,0.7781512503836436
79-22-1,118.0,COC(=O)Cl,2.0718820073061255
321-54-0,10.0,CC1C2=CC=C(C=C2OC(=O)C=1Cl)OP(=O)(OCC)OCC,1.0
129-81-7,2060.0,CN1C(C)=C(I)C(=O)N1C1C=CC=CC=1,3.3138672203691533
77-06-5,6300.0,CC12C3C(C(O)=O)C45CC(O)(CCC4C3(C=CC1O)OC2=O)C(=C)C5,3.7993405494535817
4746-87-6,1550.0,NC(=O)C(O)(C1C=CC=CC=1)C1C=CC=CC=1,3.1903316981702914
76211-54-6,500.0,CC1C=C(C=CC=1OP(=S)(OC)OC)C#N,2.6989700043360187
38237-74-0,84.0,CCCCC(=O)C1C=CC(N)=CC=1,1.9242792860618816
40806-03-9,184.0,COP(=O)(OC(Br)C(Br)(Br)Br)OC,2.2648178230095364
75-99-0,7348.0,CC(Cl)(Cl)C(O)=O,3.8661691476337707
95-08-9,6000.0,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,3.7781512503836434
24258-94-4,92.0,COC(C1CCCCC1N1CCCCC1)C1C=CC(=CC=1)OC,1.9637878273455553
101-02-0,1022.0,C1=CC=CC=C1OP(OC1C=CC=CC=1)OC1C=CC=CC=1,3.009450895798694
2938-98-9,5460.0,CC(CCO)CO,3.7371926427047373
12224-02-1,1960.0,OS(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S(O)(=O)=O)NC1=NC(NC2C=C(C=CC=2)S(O)(=O)=O)=NC(=N1)N(CCO)CCO)NC1N=C(NC2C=C(C=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO,3.292256071356476
376-89-6,2600.0,N#CC(F)(F)C(F)(F)C(F)(F)C#N,3.4149733479708178
29098-15-5,307.0,CC1C=CC(Cl)=C(NC2=CC=CC=C2C(=O)OCOCC)C=1Cl,2.4871383754771865
71-63-6,23.75,CC12CCC(CC1CCC1C2CCC2(C)C(CCC21O)C1COC(=O)C=1)OC1CC(O)C(OC2CC(O)C(OC3CC(O)C(O)C(C)O3)C(C)O2)C(C)O1,1.3756636139608853
4437-22-3,210.0,C(OCC1=CC=CO1)C1=CC=CO1,2.322219294733919
150-19-6,597.0,COC1C=C(O)C=CC=1,2.775974331129369
75-66-1,4729.0,CC(C)(C)S,3.674769314015426
87-47-8,62.0,CN(C)C(=O)OC1=CC(C)=NN1C1C=CC=CC=1,1.792391689498254
30616-36-5,900.0,O=C(OC1CCCCC1)C(OC1=CC=C(Cl)C=C1)OC1=CC=C(Cl)C=C1,2.9542425094393248
136687-75-7,2400.0,COC1=CC=CC=C1C1C(Cl)C(=O)N1C1=CC=CC=C1C(O)=O,3.380211241711606
621-64-7,480.0,CCCN(CCC)N=O,2.681241237375587
551-08-6,1850.0,CCCC=C1OC(=O)C2C=CC=CC=21,3.2671717284030137
132-20-7,520.0,CN(C)CCC(C1C=CC=CN=1)C1C=CC=CC=1,2.716003343634799
109593-75-1,350.0,CCCCCOC1C(COCCN(CC)CC)=CC(Br)=CC=1Br,2.5440680443502757
154-41-6,1490.0,CC(N)C(O)C1C=CC=CC=1,3.173186268412274
2720-18-5,73.0,CC(C)OP(C)(=S)OC1C=C(Cl)C(Br)=CC=1Cl,1.863322860120456
339-43-5,4400.0,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,3.6434526764861874
97-77-8,4141.0,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.617105230502378
62295-52-7,390.0,CC1=CC(C=CN1CCN1CCCCC1)=C1C(=O)C2=CC=CC=C2C1=O,2.591064607026499
591-08-2,50.0,CC(=O)NC(N)=S,1.6989700043360187
136-85-6,1600.0,CC1=CC2N=NNC=2C=C1,3.2041199826559246
65474-39-7,59.5,CC1=C(CC(=O)OC2=CC=CC=C2C(O)=O)C2C=C(C=CC=2N1C(=O)C1C=CC(Cl)=CC=1)OC,1.7745169657285496
144-62-7,7500.0,OC(=O)C(O)=O,3.8750612633917
64-19-7,3420.0,CC(O)=O,3.534026106056135
4169-04-4,2830.0,CC(CO)OC1C=CC=CC=1,3.45178643552429
69267-51-2,439.0,[O-][N+](=O)C1=CC2C3=CC=CC=C3C=CC=2O1,2.6424645202421213
18545-48-7,208.0,CCCCSP(=O)(N(C)C)N(C)C,2.3180633349627615
99300-57-9,150.0,CCN(CC)P1(=S)OCC2C=C(C=CC=2O1)[N+]([O-])=O,2.1760912590556813
54041-17-7,569.0,CC(C)N(C(=O)CO)C1C=CC(F)=CC=1,2.7551122663950713
66232-30-2,200.0,CCCCCCCCCCCCCCCCCCOC(=O)CC1C=CC(=CC=1)N(CCCl)CCCl,2.3010299956639813
10605-10-4,3500.0,OC1=CC=C(Cl)C=C1C1C=CC=CC=1,3.5440680443502757
63675-72-9,1257.0,CC(C)COC(=O)C1C(C(C(=O)OC)C(C)=NC=1C)C1=CC=CC=C1[N+]([O-])=O,3.0993352776859577
72509-76-3,1050.0,COC(=O)C1C(C(C(=O)OCC)C(C)=NC=1C)C1=CC=CC(Cl)=C1Cl,3.0211892990699383
69-09-0,229.0,CN(C)CCCN1C2C=CC=CC=2SC2C=CC(Cl)=CC1=2,2.359835482339888
124-40-3,698.0,CNC,2.843855422623161
25366-23-8,278.0,CNC(=O)N(C)C1=NN=C(S1)C(F)(F)F,2.444044795918076
202483-62-3,4404.0,CCCCCCC(COC1=CC=CC=C1C(N)=O)CCCCCCCC,3.643847310299714
109-73-9,372.0,CCCCN,2.5705429398818973
2524-04-1,1340.0,CCOP(=S)(Cl)OCC,3.1271047983648077
504-29-0,200.0,NC1=CC=CC=N1,2.3010299956639813
2244-21-5,1215.0,OC1=NC(=O)N(Cl)C(=O)N1Cl,3.084576277934331
34689-46-8,1864.0,CC1=CC=CC=C1O,3.2704459080179626
27302-90-5,6550.0,CS(=O)CC(=O)C1=CC=CC=N1,3.816241299991783
109-65-9,2957.0,CCCCBr,3.4708513245261177
125-71-3,116.0,COC1C=CC2CC3C4CCCCC4(CCN3C)C=2C=1,2.0644579892269186
78-83-1,3215.0,CC(C)CO,3.5071809772602407
766-05-2,80.0,N#CC1CCCCC1,1.9030899869919435
60244-67-9,10.5,COC1C(=O)N(C)N=CC=1OP(=S)(OC(C)C)OC(C)C,1.021189299069938
33878-52-3,3500.0,CCOC(=O)C(C)NC1=CC(Cl)=C(Cl)C=C1,3.5440680443502757
700-07-2,400.0,CNC1SN=C2C=CC=CC2=1,2.6020599913279625
26248-99-7,2150.0,O=C1N(Cl)C2C(N(Cl)C(=O)N2Cl)N1Cl,3.3324384599156054
150-84-5,6800.0,CC(C)=CCCC(C)CCOC(C)=O,3.832508912706236
2162-74-5,594.0,CC(C)C1C=CC=C(C(C)C)C=1N=C=NC1C(=CC=CC=1C(C)C)C(C)C,2.7737864449811935
10140-81-5,10001.0,CCCCOC(=O)CC(C(=O)OCCCC)P(=O)(OCCCC)OCCCC,4.000043427276863
24699-40-9,740.0,C(C1=CC=CC=N1)N(CCN1CCCCC1)C1C=CC=CC=1,2.8692317197309762
86811-46-3,63.0,CC1=C(CC(=O)OC2C=CC=CC=2C(=O)OC2C=CC=CC=2C(O)=O)C2=CC(=CC=C2N1C(=O)C1C=CC(Cl)=CC=1)OC,1.7993405494535817
9004-64-2,10001.0,CC(O)COC1C(OCC(C)O)C(O)OC(COCC(C)O)C1O,4.000043427276863
92-06-8,2400.0,C1C(=CC=CC=1C1C=CC=CC=1)C1C=CC=CC=1,3.380211241711606
29547-00-0,333.0,CN(C)C(CSS(O)(=O)=O)CSS(O)(=O)=O,2.5224442335063197
118-71-8,1648.0,CC1OC=CC(=O)C1=O,3.216957207361097
59-14-3,8400.0,OC1CC(OC1CO)N1C=C(Br)C(=O)NC1=O,3.9242792860618816
123-77-3,6463.0,NC(=O)N=NC(N)=O,3.810434155922673
19224-26-1,3552.0,CC(COC(=O)C1C=CC=CC=1)OC(=O)C1C=CC=CC=1,3.5504729571065634
7487-28-7,1680.0,CC1(COCC2(C)CO2)CO1,3.225309281725863
54395-36-7,2030.0,CCCCN1C(=O)C2C=CC=C(C=2C1=O)[N+]([O-])=O,3.307496037913213
372-31-6,855.0,CCOC(=O)CC(=O)C(F)(F)F,2.931966114728173
135810-36-5,500.0,N#CN=C1C=CC=CN1CC1=C(Cl)C=CC=C1Cl,2.6989700043360187
620-92-8,4950.0,OC1C=CC(CC2C=CC(O)=CC=2)=CC=1,3.694605198933569
71-58-9,6400.0,CC1CC2C(CCC3(C)C2CCC3(OC(C)=O)C(C)=O)C2(C)CCC(=O)C=C21,3.806179973983887
63867-17-4,4000.0,CCC(CC)C(=O)OCC(Br)(Br)Br,3.6020599913279625
2052-14-4,1700.0,CCCCOC(=O)C1=CC=CC=C1O,3.230448921378274
147-47-7,3500.0,CC1=CC(C)(C)NC2C=CC=CC1=2,3.5440680443502757
13413-40-6,65.0,CP(=S)(OP(C)(=S)SCCC)SCCC,1.8129133566428555
6145-73-9,1017.0,CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl,3.0073209529227447
4949-85-3,300.0,NC(=S)NC1C=C(Cl)C=CC=1Cl,2.4771212547196626
110263-73-5,10.0,CCCCCCCCCOC(=O)C1=CN=CC(C1C1=CC=CC=C1[N+]([O-])=O)/C(/O)=N/C1CCCC1,1.0
4549-43-3,340.0,CN(CC=C)N=O,2.531478917042255
749-13-3,140.0,OC1(CCN(CCCC(=O)C2C=CC(F)=CC=2)CC1)C1C=CC=C(C=1)C(F)(F)F,2.146128035678238
3261-53-8,29.96,CC12CCC(CC1CCC1C2CCC2(C)C(C(CC21O)OC=O)C1COC(=O)C=1)OC1CC(O)C(OC2CC(O)C(OC3CC(O)C(O)C(C)O3)C(C)O2)C(C)O1,1.476541809027429
67-20-9,604.0,[O-][N+](=O)C1=CC=C(C=NN2CC(=O)NC2=O)O1,2.7810369386211318
58-94-6,10000.0,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,4.0
23255-69-8,4.0,CC12C(OC(C)=O)C(O)C(OC3C=C(C)C(=O)C(O)C13CO)C12CO1,0.6020599913279624
515-83-3,880.0,CCOC(O)C(Cl)(Cl)Cl,2.9444826721501687
56-75-7,3175.0,[O-][N+](=O)C1C=CC(=CC=1)C(O)C(CO)NC(=O)C(Cl)Cl,3.5017437296279943
111-71-7,5801.0,CCCCCCC=O,3.763502865467597
106498-99-1,1200.0,CCC1(CO)CCCN2CCC3C4=CC=CC=C4NC=3C12,3.0791812460476247
24268-87-9,41.0,CN(C)CCN1C2=CC=CC(=C2C(=O)C2=CC=CC=C12)[N+]([O-])=O,1.6127838567197355
66232-29-9,100.0,CCCCCCCCCCCCCCCCOC(=O)CC1C=CC(=CC=1)N(CCCl)CCCl,2.0
59607-71-5,3536.0,COC1=CC(=C(C=C1)SC#N)[N+]([O-])=O,3.5485122563410356
93-72-1,860.0,CC(OC1C=C(Cl)C(Cl)=CC=1Cl)C(O)=O,2.934498451243568
10080-80-5,14.0,CN(OC)C(=O)CC(SP(=S)(OC)OC)C(=O)N(C)OC,1.146128035678238
3853-61-0,44.0,COP(=S)(OC)SCSCCOC(N)=O,1.6434526764861874
299-85-4,270.0,COP(=S)(NC(C)C)OC1C=CC(Cl)=CC=1Cl,2.4313637641589874
7680-73-1,285.0,C[N+]1C=CC=CC=1,2.45484486000851
87818-31-3,4553.0,CC12CCC(CC1OCC1C=CC=CC=1C)(O2)C(C)C,3.6582976503081897
1616-88-2,10001.0,COCCOC(N)=O,4.000043427276863
637-92-3,2752.0,CCOC(C)(C)C,3.4396484295634737
50-18-0,130.0,O=P1(NCCCO1)N(CCCl)CCCl,2.113943352306837
5578-73-4,1658.0,C[N+]1C=C2C3OCOC=3C=CC2=C2C=CC3=CC4OCOC=4C=C3C=12,3.2195845262142546
99793-38-1,770.0,CSC1N=C(C2C=CC(Cl)=CC=2)N(N=1)C1C=CC(Cl)=CC=1,2.886490725172482
80830-42-8,8290.0,OC(=O)C1CSC(C2=CC=CC=C2O)N1C(=O)CCS,3.9185545305502734
5286-73-7,100.0,CCS(=O)CCOP(=S)(OCC)OCC,2.0
1740-19-8,1710.0,CC(C)C1C=CC2=C(CCC3C(C)(CCCC23C)C(O)=O)C=1,3.2329961103921536
111729-41-0,826.0,CC1(C)CC(CC(C)(C)N1)N=CN(C1CC(C)(C)NC(C)(C)C1)C1=NC(=NC(=N1)N(C=NC1CC(C)(C)NC(C)(C)C1)C1CC(C)(C)NC(C)(C)C1)N(CC)CC,2.9169800473203824
14557-50-7,200.0,CCOC(=O)C(CCN(CC)CC)(CC=C)C1C=CC=CC=1,2.3010299956639813
999-21-3,300.0,C=CCOC(=O)C=CC(=O)OCC=C,2.4771212547196626
107-98-2,4358.0,COCC(C)O,3.6392872259102367
693-21-0,867.0,[O-][N+](=O)OCCOCCO[N+]([O-])=O,2.9380190974762104
764-48-7,3910.0,C=COCCO,3.5921767573958667
27676-62-6,6251.0,CC(C)(C)C1=CC(CN2C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C2=O)=CC(=C1O)C(C)(C)C,3.7959494989028033
105-39-5,194.0,CCOC(=O)CCl,2.287801729930226
585-86-4,10001.0,OC(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,4.000043427276863
51122-73-7,2710.0,CCN(CCNC(=O)SCC(C)C)C(=O)SCC(C)C,3.432969290874406
94361-06-5,853.0,CC(C1CC1)C(O)(CN1C=NC=N1)C1C=CC(Cl)=CC=1,2.930949031167523
32449-92-6,10001.0,OC1OC2C(OC(=O)C2O)C1O,4.000043427276863
21498-08-8,70.0,CC(OC1C(Cl)=CC=CC=1Cl)C1NCCN=1,1.845098040014257
19406-86-1,1983.0,CC1C=CC(=CC=1N)C(N)=O,3.2973227142053028
637-07-0,940.0,CC(C)(OC1C=CC(Cl)=CC=1)C(=O)OCC,2.9731278535996988
3006-82-4,10000.0,CCCCC(CC)C(=O)OOC(C)(C)C,4.0
3671-00-9,413.0,CN1CC(CC1)C1=CNC2=CC=CC=C12,2.615950051656401
563-80-4,3289.0,CC(C)C(C)=O,3.5170638734826545
10540-29-1,4100.0,CCC(=C(C1C=CC=CC=1)C1C=CC(=CC=1)OCCN(C)C)C1C=CC=CC=1,3.6127838567197355
68-11-1,82.0,OC(=O)CS,1.9138138523837167
7070-63-5,142.0,CNC(=O)OC1=CC=CC=C1C1OCCCO1,2.1522883443830563
88-73-3,259.0,[O-][N+](=O)C1C=CC=CC=1Cl,2.413299764081252
108-29-2,8800.0,CC1CCC(=O)O1,3.9444826721501687
7409-44-1,2280.0,CCCCCCCOCCO,3.357934847000454
10081-67-1,2751.0,CC(C)(C1C=CC(=CC=1)NC1C=CC(=CC=1)C(C)(C)C1C=CC=CC=1)C1C=CC=CC=1,3.4394905903896835
608-25-3,200.0,CC1C(O)=CC=CC=1O,2.3010299956639813
6577-41-9,494.0,C[N+]1(CC2COC(O2)(C2CCCCC2)C2C=CC=CC=2)CCCCC1,2.693726948923647
64057-90-5,1375.0,NC1=CC=CC2=C1NC1CCCCC=12,3.1383026981662816
1020-76-4,1875.0,NC1=NN=C(C=CC2=CC=C(O2)[N+]([O-])=O)S1,3.2730012720637376
132-35-4,1400.0,CCC(C1N=C(CCN(CC)CC)ON=1)C1C=CC=CC=1,3.146128035678238
10138-89-3,1480.0,CC(CC(OC)OC)OC,3.1702617153949575
78-95-5,113.5,CC(=O)CCl,2.0549958615291417
163802-53-7,2376.0,CC=CC=CC(=O)OCCC[Si](OC)(OC)OC,3.375846436309156
13021-50-6,7500.0,CC(C)OCC(O)COCC,3.8750612633917
1001354-72-8,550.0,CCC(N)C(O)CCCC,2.7403626894942437
541-73-1,790.0,ClC1=CC(Cl)=CC=C1,2.8976270912904414
34643-12-4,1109.0,CC1C=CC(OC2C=CC(=CC=2Cl)C(C)CC)=C(CC(O)=O)C=1,3.04493154614916
63980-89-2,50.0,CC1C=CC(=CC=1)SP(O)(=O)OCC,1.6989700043360187
868-85-9,3160.0,COP(=O)OC,3.499687082618404
27704-53-6,30.2,CCOP(=O)(OC(C1C=CC(Cl)=CC=1Cl)=C(Cl)Cl)OCC,1.4800069429571505
6476-37-5,820.0,C1CCCCC1P(C1CCCCC1)C1C=CC=CC=1,2.9138138523837167
10592-13-9,1700.0,CC1C2C(C(=O)C3=C1C=CC=C3O)C(=O)C1(O)C(C(C(=O)C(C(N)=O)C1=O)N(C)C)C2O,3.230448921378274
62-68-0,2140.0,CCCC(C(=O)OCCN(CC)CC)(C1C=CC=CC=1)C1C=CC=CC=1,3.330413773349191
1117-37-9,4500.0,CCOC(=O)C=CN(C)C,3.6532125137753435
532-03-6,1320.0,COC1=CC=CC=C1OCC(O)COC(N)=O,3.12057393120585
1113-04-8,6930.0,CC[N+](C)(C)CCO,3.8407332346118066
2767-80-8,178.0,OCP(CO)CO,2.250420002308894
39515-40-7,318.0,CC(C)=CC1C(C(=O)OC(C#N)C2C=C(C=CC=2)OC2C=CC=CC=2)C1(C)C,2.5024271199844326
3717-88-2,1040.0,CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1C=CC=CC=1,3.0170333392987803
554-84-7,744.0,[O-][N+](=O)C1C=CC=C(O)C=1,2.8715729355458786
141-98-0,341.75,CCNC(=S)OC(C)C,2.5337085232398597
112-30-1,8798.0,CCCCCCCCCCO,3.944383957640844
86703-02-8,2250.0,CC1=CC=C(C)N1NC1C=CC(=NN=1)N1CCOCC1,3.3521825181113627
99-85-4,3650.0,CC1CC=C(CC=1)C(C)C,3.5622928644564746
3160-37-0,4000.0,CC(=O)C=CC1C=C2OCOC2=CC=1,3.6020599913279625
90220-18-1,3.4,CCCCOP(=O)(CC)SC,0.5314789170422551
562-74-3,2800.0,CC(C)C1(O)CC=C(C)CC1,3.4471580313422194
73681-13-7,615.0,CC(=O)N(/C(/NC#N)=N/C1=CN=CC=C1)C(C)(C)C,2.788875115775417
569-58-4,9000.0,OC(=O)C1=CC(C=CC1=O)=C(C1C=C(C(O)=CC=1)C(O)=O)C1C=C(C(O)=CC=1)C(O)=O,3.9542425094393248
985-12-6,540.0,CCOC1C=C2C(CC3C=C(OCC)C(=CC=3)OCC)=NCCC2=CC=1OCC,2.7323937598229686
2444-90-8,1000.0,CC(C)(C1C=CC(O)=CC=1)C1C=CC(O)=CC=1,3.0
17869-27-1,5800.0,NCCC[Si]12OCCN(CCO1)CCO2,3.7634279935629373
41798-82-7,212.0,CN(N=NC1C=CC=CC=1)N=NC1C=CC=CC=1,2.326335860928751
24632-63-1,300.0,CN1CCN(CCC(O)=NN=CC2=CC=C(O2)[N+]([O-])=O)CC1,2.4771212547196626
298-14-6,2751.0,OC(O)=O,3.4394905903896835
2409-55-4,2800.0,CC1C=CC(O)=C(C=1)C(C)(C)C,3.4471580313422194
120-72-9,1000.0,C1=CC=CC2NC=CC=21,3.0
4998-76-9,720.0,NC1CCCCC1,2.8573324964312685
107-71-1,2562.0,CC(=O)OOC(C)(C)C,3.4085791254086675
15500-66-0,202.0,CC12CCC3C(CCC4CC(OC(C)=O)C(CC43C)[N+]3(C)CCCCC3)C1CC(C2OC(C)=O)[N+]1(C)CCCCC1,2.305351369446624
57-55-6,10001.0,CC(O)CO,4.000043427276863
23182-46-9,4600.0,CC[N+]1(CCOC(=O)C(O)(C2C=CC=CC=2)C2C=CC=CC=2)CCCCC1,3.662757831681574
90-43-7,1250.0,OC1C=CC=CC=1C1C=CC=CC=1,3.0969100130080562
22936-75-0,3000.0,CC(C)C(C)NC1N=C(N=C(NCC)N=1)SC,3.4771212547196626
3761-41-9,125.0,CC1C=C(C=CC=1S(C)=O)OP(=S)(OC)OC,2.0969100130080562
15433-03-1,1000.0,CC1C=C(C)C=C(C)C=1C1C(=O)C2=CC=CC=C2C1=O,3.0
108-24-7,630.0,CC(=O)OC(C)=O,2.7993405494535817
120-92-3,2980.0,O=C1CCCC1,3.4742162640762553
495-54-5,1325.0,NC1C=C(N)C(=CC=1)N=NC1C=CC=CC=1,3.1222158782728267
4044-65-9,21.0,S=C=NC1C=CC(=CC=1)N=C=S,1.3222192947339193
556-82-1,1200.0,CC(C)=CCO,3.0791812460476247
103-23-1,10001.0,CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,4.000043427276863
74764-93-5,3500.0,CN(C)CCN(C)N1C=C(C2C=C(C)C=CC1=2)C1C=CC=CC=1,3.5440680443502757
78-87-5,2073.0,CC(Cl)CCl,3.3165993020938607
25961-87-9,2940.0,CCCCCCCOCCOCCO,3.4683473304121573
105-52-2,7340.0,CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,3.8656960599160706
75-21-8,201.0,C1CO1,2.303196057420489
60676-83-7,170.0,NC1C(Cl)=CC(=CC=1Cl)C(=O)NC1CC1,2.230448921378274
10140-94-0,300.0,CCC1COP(=S)(Cl)OC1CCC,2.4771212547196626
87687-13-6,830.0,CN1CCN(CC2C(SC3=CC=CC=C3N=C2O)C2C=CC=CC=2)CC1,2.9190780923760737
24017-20-7,7.1,CCP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,0.8512583487190752
99-59-2,2250.0,COC1C=CC(=CC=1N)[N+]([O-])=O,3.3521825181113627
953-17-3,48.0,COP(=S)(OC)SCSC1C=CC(Cl)=CC=1,1.6812412373755872
119600-43-0,2348.0,CCN1CCC2=C3C1CC=C(C(=O)OC)N3C1=CC=CC=C21,3.370698092575577
54533-86-7,1580.0,CCN(CC1=NC=CN1C1=CC=C(C=C1C(=O)C1=CC=CC=C1Cl)[N+]([O-])=O)CC,3.1986570869544226
2439-01-2,1450.0,CC1=CC2=NC3SC(=O)SC=3N=C2C=C1,3.161368002234975
2154-02-1,400.0,CN1CCC2=CC(OC)=C(C=C2C1CCC1C=CC(Cl)=CC=1)OC,2.6020599913279625
66-75-1,3.55,O=C1NC(=O)N=CC1N(CCCl)CCCl,0.5502283530550941
64-55-1,1160.0,CCC(C)C(C)(COC(N)=O)COC(N)=O,3.0644579892269186
